airline_sentiment,text
negative,youre going make wait long phone line help thats part problem
negative,hr cant wait anymore hr nothing frustrated usairways httptcobuwjtvuwkm
negative,ive called day cant get thru secret method use doesnt result hanging
negative,policy changing flight different date flight delayed
neutral,checked online tomorrow flight thought get auto upgrade already got email saying seat
neutral,last name pordes
neutral,tell reservation rebook
negative,arent twitter reservation connected people want reservation duh
positive,still air deicing plane ill miss connect customer service helpfulim hoping catch next flight
neutral,trying go nashville london idea would good time fly nashville right
negative,usairways unacceptable holdtime really httptcouppabxrq
negative,push rebook number
negative,tell flight clt srq wait
negative,lost bag baggage handler broke open bag stole camera
neutral,empty first class seat flight check wouldnt automatically upgraded
negative,grade trip flight timeliness cancelled flightations customer service flight attendant
negative,thanks mean lot verbally cussed charged extra bag amp told dont feel like dealing
negative,stuck cae need reflight booking problem next flight possibly dm info
negative,useless amp rude employee ever philadelphia airport never fly
positive,work hard making sure thing flow smoothly keeping positive
positive,boarding yet depart thanks response
positive,totally understand weather frustrated thanks
negative,tell get please
negative,really needed back home yesterday work today plane sitting hour peeved
negative,gate agent working everyone resolve connecting flight issue concern
negative,thats flight placed original flight charlotte cancelled flightled hr delay
positive,thx gate agt john pascucci finding u flight clt pvd original one cancelled flightled httptcoyiwlhqhzgp
negative,st reaccommodation delayed flight one amp gate agent still hasnt mumbled word folk getting anxious
positive,best follow please
negative,please dont go check process us mco absolute disaster
negative,phone talk real person
negative,week since took money left u stranded hour home rent car still helped u
negative,gave httptcoedgctbls
negative,ive hold one hour four minute reservation line possibly business way
negative,lack communication office customer amp yall never update ur system u guy established mess
negative,u guy get much many customer fucking badly u
positive,provides best logistics experience people india mumbai surat navimumbai
negative,last night charlotte nc im seriously debating never flying minute tarmac connection leaf
neutral,hi could protect u case still ground checked luggage still chance make original
negative,great still help
negative,_factor hope weather delay help reroute lodging non stop way go
negative,didnt reroute bos jax via dca clt instead forcing overnight passengerslose
negative,appreciate hard work still gave gthour
negative,luggage delayed im looking compensation since know charged forgot
negative,stranded cold texas getting sick overbooked flight gave seat away gooutofbusiness
negative,worst experience ever unable help phone told last min cabin crew unavailable flight never usairways
negative,thanks weather disruption caused crew run late flight sorry delay flight
negative,minute delay absurd feel free provide credit httptcoekejbv
negative,fuck
negative,even dime free ticket worsttraveldayever
negative,disappointment making arrangement amp sleeping toddler zero assistance usair maddening
neutral,thank
negative,thanks see agent unhelpful got voucher others unexplained reason
negative,min scheduled departure still sitting terminal communication would lovely httptcopkaxunyfn
negative,day disaster rude employee help amp hotel flying amp fly alot dallasraisenow
negative,traveling year old would appreciate holding end good business hosting u unanticipated layover
negative,missed flight connection due flight attendant delay yet voucher part fail
negative,course never tho thanks tweetin ur concern doin anythin fix happened ill choose wiser next time
negative,absolutely knew would try blame weather deny u voucher phoenix totally false crew issue
negative,half inch snow charlotte overwhelming
neutral,phone look like global
negative,already filed report personally airport however idea even tracking number
negative,already called option flight reimbursed never unreliable business traveler
negative,saving grace flight attendant dallas amazing wish would transfer delta would see
negative,link lead website wont open cell phone good job shocking airline folding
negative,flight u got cancelled flightled due lack flight crewi told id reimbursed hotel contact
negative,need apology unfortunate situation date ive landed suppose land
negative,minute mean public transit home expensive cab promise doesnt make
negative,sister supposed leave go back al shes getting nc kidding neverflyusairways
negative,really drunk someone stop serving
positive,best airway follow please
negative,hr flight delay delay land even real life get plane wanna go home heel click
negative,flt ground dont gate u dca happening
positive,shout redheaded gate agent flt dca chs tonight didnt get name great
negative,im sick living airport getittogether
negative,jfk baggage office actually run paper hotel voucher thislinehasntmovedforanhour
positive,dude named shaquille desk charlotte incredibly professional helpful v crazy angry people tonight
negative,really u gave scotch rock control drunk would let sister change seat grouping
positive,awesome usair tysvm lt
positive,thank
positive,would lovely great people working organization
negative,jfk baggage office open help rebook u cancelled flightled flight dca shameful
negative,hey let flight get gate hour late flight fate dozen kid board
neutral,
negative,flight update doesnt help waiting min arrival waiting plane leave gate write
positive,tyvm usair happy night lt
positive,thanks hectic everyone action dont represent company well imo
negative,mr husain u shld protest well one ur party member rehman malik delayed pia flight hour
negative,good hold hour xday since sun book way flt dividend mile agent send hold hell furious
negative,im sure dont question still remains found crew wont come flt tks
negative,impressed airline would feel lot better flying upgraded first class tomorrow
positive,glad home great people got home safely sad others didnt get back bc scheduling problem
negative,update hr delayed obviously isnt date havent boarded httptcollwjazioa
negative,may bewhat issucks fail
negative,whole handling jokeboston logan one little old ladyone handling customer httptcodhrfuijyp
positive,appreciate response
neutral,long billing cycle
negative,hold wont let use companion voucher online httptcodphqrgkdoa
negative,one helpful never fly airline neveragain spreadtheword
negative,wont hour holding give couldnt borrow phone longer hour
negative,ive sitting charlotte airport hour waited crew maintenance neveragain
negative,delayed flight time cancelled flighting angry rude worker providing helpful service
negative,daughter stranded charlotte u airway cancelled flightled flight tonight completely dissatisfied
positive,thanks kevin team fish phl great service recovery tonight appreciate
negative,commitment excellence b praised get wrong city day late flight right one day late flight customerservice
negative,car service hotel food hotel cost bc cancelled flightlations fall customer last minute notification
negative,im amazed lack communication passenger
negative,told csr would close acct couldnt care less
negative,beware barklays bank terrible cust service assist know go badly written bookin english
negative,call weather act god refuse help wife kid sympathy
negative,bad weather shouldnt mean bad service
negative,stuck charlotte treated like nobody staff
negative,flight keep getting delayed cancelled flighted information worst customer service ever
negative,reservation sync mean hold w customer service min want idea
negative,sits throne lie
negative,wheres bag called noon promising today would like update like website promise need bag
negative,flt tampa clt late flight gonna miss conn bos
negative,im flight finally air enough food feed customer movie entertainment hr flight
neutral,hope pilot good day
positive,thanks help left message dca lost found finger crossed find
negative,worst airline ive ever flown guy treated like garbage today
negative,water flight dca first time ive ever seen happen executiveplatinummeansnothing iwantcoffee
neutral,eh happens think ill survive thanks
negative,voucher past trip delayed thought talk someone phone use true
negative,wont help cant believe wouldnt take full fare first class gave away platinum member profit
negative,hour hold customer service without anyone answering ridiculous
neutral,im cust svc line charlotte nc agent better game
neutral,flight full
negative,delayed three time finally boarded waiting minute told plan completely powered
negative,hour hour four hour like joke
negative,thanks trip screwed ive move meeting dinner im still nyc yet
negative,dont need check status flight plane door malfunction get together
negative,freaking fact fixing engine charlotte orlando longday
negative,told record refund someone please help long day
negative,tried speaking multiple people reservation desk min hold waivethefee poorcustomerservice neptune
negative,put back hold hour completely unacceptable
negative,stop reposting autoresponse return flight home imateacher couldnt get rsw neptunewaivethefee notmyfault
negative,contd put pm flite tonite think shes worst customer service ever u need fix
positive,thank glad heading home great people call center
positive,thx replying trying get thru many time amp vmail people hanging u talked techcontd
negative,flight booking problem cld time select manage flight booking problem month emailed response help
positive,ha youre fun
negative,ur service shitty pilot never showed waited hour another pilot supposed come didnt cancelled flighted
neutral,long flight httptcobcwckwtnle
positive,flying high thanks
negative,ticket couldnt used bc unable get departing dest rsw bc blizzard bos told way use credit fine
negative,cant get reservation take look hour hold time reasonable industry
negative,hour hold oh wait less minute useless csr talked put back hold last minute
positive,thanks would better gate agent c charlotte boarding flight
negative,flt clt day supposed depart still crew schedulecontact pilot
negative,ask ice attendant snap dont ice cart min late flightr cup ice people row ahead
positive,thanks
negative,ive waiting callback eight hour much longer
negative,half hour hold hope feel good steaming pile shit paid far much
negative,redeemed flight call negotiate thank lord im heading home
negative,total b offered pay full first class airfare told sold seat gave seat others crap
negative,hold u min wasting time amp dont appreciate wheresthecustomerserviceat httptcophiifnjit
negative,u gate open min waiting great way finish hour delayed arrival
negative,strike strongly suggest live tweet ordeal medium team appreciates update
negative,flight first hour wait deadhead crew deadhead crew take overhead bin space paying customer annoyed
positive,weather mess south missed connection clt impressed though cust serv phone rep today
negative,really middle initial versus middle name else spending time computer issue
negative,disappointed wasnt allowed change seat checking early online flight tomorrow morning
negative,theyre reservation number none hungary phone working make difficult
negative,week refund ticket totally unacceptable fix ill put blast social medium tv
negative,yes pay pocket u helping loosing first class ticket coach want resolution comp
positive,frustrating daysno flight home changed airline thank phl usairway employee amp help getting back iah
neutral,there one flt phlcrw per day
negative,staff member looking like two head check website httptcohhctie
neutral,traveling lax clt hts rebooked tomorrow due travel advisory
negative,flight brother rebooked able give info phone get pas club
positive,flight thanks
negative,flight delayed hour deadhead crew let make paying customer wait great service usairways
negative,ur going charge wifi make sure work brutal dialup b time thing load theend goodday
negative,anyone working today anyone want pick phone
negative,ive hold minute there lack quality service nobody care hate shitty airline
negative,stranded _vigil phoenix w broken foot flight fd sunday sickcrew cancelled flighted mechanic flight today
positive,best airway follow back please
negative,rude arrogant gate personnel uncalled unprofessional theworst
negative,wont waive fee flight cancelled flightlation due neptune use credit fee couldnt reach destination notmyfault
positive,thank thanks accommodating
positive,amazing best follow please
negative,feeling helpless tanpa airport talk someone flight delayed time need help missed connection prob
negative,wont waive fee due neptune cant use credit wo paying fee couldnt get destination use tic waivethefee
negative,wonder lowest rated airline america shameful usairways
negative,even still business trying call hour pathetic
positive,thanks
negative,wow airline joke absolutely horrendous customer service guy ashamed
negative,flight cancelled flighted neptune could get destination notmyfault waivefee ripoff poorcustomerservice
positive,best airway follow please
negative,waive fee time cancelled flightation waive future date usairways ripoff poorcustomerservice
negative,flight sitting jfk delay hr employee load bag terrible
negative,rebooked handled unprofessionally cancelled flightations happen disorganization uncalled
neutral,conf number fmjtyl delayed chance getting earlier flight fll phx
negative,called time last three day thats unacceptable im willing wait hold thats option
positive,amazing best follow please follow back
negative,ive hold hour need rebook flight please help
negative,º u left coat luggage anticipation cramped overhead bin
negative,im traveling around world end year number good
negative,dont know ive tried call confirmation call arent going thru let know
negative,get free wifi since flight cancelled flightled
negative,rebooked sucked big time crappy layover customer service subpar
positive,sending thanks employee freddie phl admiral club east allowing give day pas sibling stuck today
negative,done sadly flight clt gotten ind today head back tampa tmrw
negative,holding min listening shitty ad repeat credit make hate airline even better
negative,would way wether delayed yet love charlotte ice storm good luck mad customer
negative,please staff flight approproately entire flight delayed fa isnt shouldnt left delta
negative,tooooo many cancelled flightations chain command hate
negative,cancelled flightled flight refused give voucher despite flight day neveragain
negative,think staying w airline amp rescheduling flight shouldnt absorb fee cost flight
positive,thats u guy choice
positive,thanks
negative,im cool weather delay etc lying deceiving passenger keep changing reprehensible yousuck
negative,want get home wednesday joke hr cancelled flightlations delay enough
positive,drink voucher next flight winkwink
positive,nice touch using first name intimate ill filing claim soon reimbursed u airway day
negative,airline embarrassing get bad weather isnt fault response couldnt worse
negative,update flight orf phl one gate
negative,yes work firefox everything finish purchase button turn gray never submits couple week
negative,hour late flightr flight cancelled flightled gotta work internal communication skill
negative,horrible experience flying montego bay philadelphia check golf bag constant selling inflight
negative,told gate open ord needed wait min still waiting min
negative,sign boarding please get another update
negative,still cant get real person phone book flight ready go jetblue since care usairwayssucks
positive,missing flight reflight booking problem x walked onto another flight phone still seat
negative,great job communicating passenger flight doesnt exist anymore httptcohlzahxkdsn
positive,thanks travis phl east checkin knowing baggage policy ski amp boot count teach mgr didnt know
negative,thx responding bag came mad rush towards end jetwaywhy put thru baggage claim
negative,usaa flight arrived dca waiting gate apx hr update
negative,agent reservation contact instead asking waste time sitting phone hour
negative,believe keeping customer happy especially mistake made part
neutral,would love combine aa usair accts unfortunately one middle name amp one middle initial wont allow change
negative,rep min said couldnt help transferred dividend mile customer service
positive,right amp away
negative,customer service stink trying book flight hour keep getting hung usairwayssucks
neutral,please please please let plane back gate get miss connection due clt closing
negative,weve flight sitting tarmac dca waiting gate use another gate
negative,hope flight delayed flight attendant didnt come work nobackup
negative,made u miss flight first class cant even enter admiral club happy dm fix
negative,please dm flight delayed going clt force miss connection lga pm
negative,hold hour know keep money
negative,charging change flight rip reason hand amp want reschedule flight july
negative,flight leaving havent even begun board yet please update website asap
negative,_kairys another sent wrong lineoh kiosk werent working thanks
negative,also employee less helpful _kairys checking bag two left desk completely
negative,phone number gate gave doesnt work either customer service phone number
neutral,done
negative,_kairys site clearly explains allowed carry allowed pit bos make sense
negative,never life dealt poor customer service irresponsible staff lack care lgaiah day baggage nc
negative,thks tip seems like workaround rather customerfriendly solution easily accessible email
neutral,unfortunately think watched take bus rebooked late flightr flight planestrainsandautomobiles
neutral,supposed flight charlotte rdu pm yesterday flight scheduled departure tonight
positive,thank much stressful day
negative,future better harsh weather preparedness plan much staff called everything snowballed
negative,couldwanted call wouldnt use internet make reservation site wont work chrome several computer
neutral,darn first line upgrade wish understood policy httptcoxgpaayfdwt
negative,waiting luggage flight delay
negative,please update website current flight status update customer service phone thx
negative,flight booking problem flight using credit previously cancelled flightled flight cant get thru phone cant book online help please
positive,absolutely staff amazing
negative,horrendous pull shit together
positive,haha indeed great day
negative,want money back sitting runway hour delay waiting baggage begin loading
negative,gate agent gonna tell flight time minute past departure time previous flight plane
negative,aforementioned pilot sure want merge patron hitting hoodlum httptcoccefapl
neutral,flight left phone plane shuttle
positive,thank tried said didnt anywhere else try
negative,best u could doi might get refund within billing cycle month u guy asking another chance im done
negative,day cancelled flightations driven airport different state spent gas flight
negative,whole team able put carry ons plane
positive,customer service finest
negative,speciifc email character limit complaint aaus customer complaint adopting twitter model
neutral,please hold see cant get first plane quick enough
negative,please hog next flight im waiting bus get one plane run leaf two min
positive,fabulous thank much looking forward taking sky
negative,r rebooked got conflicting info abt baggage extra plane battery hand comped admiral club hr wait
negative,dont tell tell actually reach someone dont mind put hold wont even
negative,missed funeral take train back newark
neutral,baggage allowance flight glasgow u thanks
negative,joke company today reminded never book
positive,exceptional service flight ind phx
negative,nice take flight level consistency service flight attendant quality control
negative,travelling pwm atl sunday flight got cancelled flightled new flight cancelled flightled got disconnected reflight booking problem
negative,believe seriousness whats acceptable time expense name wasnt fault
negative,cust serv rep unable change reservation system check unaware cancelled flight got word night
neutral,way could hold flight clt husband stuck security check line flight scheduled pm
negative,issue people r nice storm email wrong phone number auto rebooked flight non connecting city
negative,missing reservation due cancelled flightled flight make right giving first class tomorrow make customer happy
negative,consolation bag somewhere else real impediment going different vacation
negative,tip getting hotel airline wont get u even though told wed make flight
neutral,left son duke hat flight last night say mason back way locating thanks advance
neutral,known traveler transfer check aa elite get choice seat
negative,booked flight yesterday didnt receive email confirmation dividend number isnt registering please help
positive,crew keeping safety top mind clt httptcoayosjhzmc
negative,amp seat together fee seems im taking flight least wave
neutral,im researching flight amp noticed small issue wclass service site amp site could reservation help
negative,need someone management contact flying funeral wont make add pain want pay
negative,contaced eyewitness news ripoff cancelled flighted want pay
neutral,change without penalty call customer service
negative,call say yall busy call back late flightr terrible customer service
negative,charged flight cancelled flightled unbelievable unheard
negative,completely ripped u airway today never fly airline contacting local news
negative,cant believe would refer number one seems getting really need help asap
negative,hundred people line less half desk manned clt help
negative,contact email customer complaint
negative,probably going miss connection charlotte drive home funeral
negative,flight jfk charlotte charlotte birmingham previous flight hsv cancelled flightled
negative,still cricket customer service
neutral,flight fro orf phl
negative,excuse poor website flight booking problem option yearly vacation fall ubetter smth
negative,phone line disconnect queue answered phone line simply disconnect call
negative,want bump seet first class two cancelled flightlations hr joke
negative,arrive plane im sitting need take offwish someone would tell u holdup
negative,dating back nov sent back forth _en disgrace
positive,hoping voucher future flight optimistic
negative,didnt even leave airport sent bag philadelphia
negative,thanks info trying hr luck flight dep today need change tomorrow thursday
negative,tried twice today hold min time thing cant live hold dealing w customer serv failure
negative,warm weather hub mean mexico u cant go anywhere else since lost bag hope attempt rectify
negative,kidding oy
positive,thanks
negative,thank blowing vacation couldnt get anywhere today make reservation also lost bag mine
negative,trying talk dividend mile rep day holding hour day option
negative,still say time website btw
negative,customer service horrible
negative,expect something telling see agent rebook flight
negative,ability switch flight cannot tell bag
negative,disaster sitting runway bring plane back gate smh
negative,havent weve line service desk hr spot
neutral,website board logan said time went security got gate
negative,got flight bos charlotte found cancelled flightled got gate
positive,please give tara g pat back praise helpful phl member lounge
positive,thanks hope get destination
negative,well got email flight delayedthats right
negative,soon possible boarded plane st time im still started
negative,chairman phone number use
negative,make spirit look like gem air travel havent handle winter storm well
positive,thanks reply hoping everything cleared charlotte monday
negative,take month
negative,yes filed report atlanta bag charlotte nc hour late flightr still cant find luggage
negative,supposed carry pittsburgh coming boston carry
neutral,need contact asap furious
negative,cant even get hold wait speak someoneawesome
negative,almost hour coin understand higher call volume unacceptable
negative,cancelled flighted sm response slow
negative,ive flight cancelled flightled twice minute automated question phone go busy signal help
negative,great job today ruining people vacation thanks incompetent pilot staff missed flight
negative,service awful boston pay extra dollar supposed dissatisfied mad
negative,pm flight fll phl connection man however delay might miss go earlier
negative,hold gold reservation line hour flight cancelled flightled trying rebook
negative,choice pay another go airport hope treated better rep
negative,reservation hold hour hang upsmh
negative,r u supposed change flight u cant get thru reservation onehouronhold
neutral,hows u looking today
negative,would even consider continuing point program received perk continued bad customer service senseless
neutral,weve already made arrangement
negative,thanks getting back find airline future
negative,would pay reactivate point useful certain flight arent even worth
negative,stranded hour mia patrick casimir aa staff apologize great inconvenience unreal
negative,thanks said denied mile expired one week ago last drop plan avoid aa possible
negative,sorry late flight responded dm
positive,believe understand flight originally booked sunday flight cancelled flighted rescheduled today
negative,aa employee rude unwilling help mile rotten cherry top dog shit sunday nocareforcustomers
negative,mold flight u filthyplane hopeidonotgetsick httptcozikuoxgnw
neutral,second touchdown madrid airport april avgeek httptcoywxrfngr
negative,slept miami airport due mechanical issue given bonus mile try make right slapintheface
neutral,new time confirmed may get cancelled flightled traveling kid need certain thx
negative,hr min cost flight change hr ago bf drop call cancelled flighted flight asked refund
negative,frustratingit paid get refund
neutral,dm locator code thanks
positive,thank
negative,sure hope fix good luck service suck nexttimeiwillflysouthwest
negative,thanks fresh food cross country flight making connection close time eat tpadfwlax
neutral,flight got cancelled flightled grk dfw lex tomorrow need rebooked
neutral,sort live chat feature uk right call would cost u alot
negative,plane made miss connection day thanks nothing
negative,purchased main cabin xt faus flight cancelled flightled rescheduled regular seat credit
neutral,disappointed flight booking problem process addl fee sit together crowded flight impressed far
positive,thanks
negative,thx responding cant watch min film wout cutting prolonged prds time beyond frustrating
neutral,
negative,connect person without wait hour hold still havent able resolve problem
negative,r u serious min delay americanairlines aa ohio dallas missed connecting flight httptcodnmsblzumr
negative,jumping gun cancelled flighting flight couldve made snow cancelled flightlations ridiculous
positive,might look wife travel much could use membership
neutral,thank
neutral,happens combine top chef amp beauty san miguel de allende late flightst food blog httptcotrdrcre
positive,great thanks followed
positive,exactly ill flying aa _airport dallas airline trust
negative,doesnt address issue hold min speak agent
positive,got another flight thanks
neutral,u r horriblewent online cancelled flight flightno buttonthatcalled c ampwait time minsampput calledampit hungupnohelp
negative,submitted case aa customer relation two week ago word ever since whats point even cr
negative,near gate mean sitting plane almost hour yeah
positive,dont think help based behavior voucher cot seem like enough lol
negative,still waiting flight get money back
negative,cancelled flighted flight really dont need much trouble
negative,_wasila sorry uncomfortable andrew sma
neutral,hi please ticket award ticket status request thanks
positive,got back eventually rollercoaster got airport amp got speak someone thing got fixed quick
negative,thats extra hour travel time missed vacation time guy messing professional life
negative,checked app since yesterday confirmed upgrade amp carry got counter amp manager upgraded somebody else seat
negative,trying desperately get boyfriend booked u airway flight price help
positive,yes yes yesso glad headed home
negative,dont worry ill sending letter expect compensation fly twice week wyou guysfor
positive,thanks
positive,thanks keep updated hope make either connection killeen tx
negative,hold wcustomer service line minute phone agent min bf call droped
negative,tried book rwrd told couldnt bought tix usair aano choice didnt bother aadv svc
neutral,know suicide second leading cause death among teen
negative,narrowly made standbylots snag trip
neutral,iphone gb plus
negative,ordered always hour flight delayed hour worse ever forgot meal
positive,thanks much
positive,aa doesnt charge fee change award ticket long origin destination amp award type remains
negative,need flight tonight isnt anything else
positive,thank confirmation
negative,spent choppiest feed whiplash ever americanairlinesfail iwantmymoneyback
neutral,ok call likely tmrw uk time question process getting change charge reversed due bereavement
negative,please find bag singapore three day already without bag last known destination lax tag please help
negative,inconvenient convenient word
negative,response could made difference could made situation better trustget lost like bag
negative,delayed way puerto rico delayed way back new york disgraceful
negative,thats okyou may keep lose bag info longer trust bad way handle
negative,come want go home cant miss another day work stuckinmemphis texasisclosed
neutral,photo httptcovmquurzupw
negative,guy killing httptcoipgeicsm
positive,aww cool nice know still head one faves
neutral,whats status flight sju
neutral,would love dm twitter app say youre following cant
negative,wasnt offered perk asked told thenewamerican
negative,good care customer anything happen take getting back nyc screw
negative,cost dollar flight cancelled flightled couldnt even give food comp fly take
negative,say dumb thing beat around bush youre flight cancelled flightled prepared compassion
neutral,yes io im running io
negative,worst company ever please fly repeat please fly credit youre delayed
positive,continues win ive never missed flight nice little quiet gate change made possible sheesh
neutral,keeping aa air crew chief cousin alex espinosa dfw httptcohxlnvzknp
negative,lost cat missed flight kept crated hr wouldbe hr trip youll never touch pet
negative,dont worry wont steal money
negative,continually getting put hold painfully inexperienced people calling platinum desk
negative,pretty lame response two paged single spaced letter httptcoaceboelpa
negative,happens u mattersits response matter way drop ball aa
negative,looking help usairways award travel booked wife two boy seat assigned
neutral,_ done truck biggie
negative,put bad mood havent angry since spagnuolo coached ram
negative,cancelled flighted flight left help find hotel stay slept airport night_
negative,flight vega dfw cancelled flightled sunday monday whammie today
positive,airport snow removal method keep good work folk cessnas become httptcooumclrxdn
neutral,bird could fly south america example argentina
negative,flight jacksonville fl dallas showing cancelled flightled going rebooked another flight
positive,great thanks
positive,awesome thanks
negative,flight dallas jacksonville fl cancelled flightled one notified whats going
negative,extremely upset baggage handler decide go luggage take belonging
negative,flight delayed hour gf meal despite early request attendant seat fell leg badservice
negative,always rely fly usair american employee rude unhappy
negative,robocalls another cancelled flightation dont accept change wont let connect agent wow
negative,said aa provide inflight wifi route china based federal law united
negative,right two hour late flight seems due poor communication sounded like annoying onplane staff
negative,im sure happened usairways status merger took place
negative,u help rebook passenger via twitterdm hold hour thanks
neutral,id like apologize gate agent flight aa aware zone nine precious gem
neutral,key point confusion whether make change even though initial flight booking problem u airway metal
neutral,origindestinationdates going u airway connecting flight aa direct flight award saver level
neutral,old fly ordpvg get upgraded
neutral,know little cold weather humor
positive,none lax flight dfw cancelled flightled landing fine completely arbitrary
negative,doesnt really answer question maybe provide detail give clarification
negative,delayed bag friend lisa pafe got bag day costa rica issue update system
neutral,thanks
positive,aww thanks aadfw gma amso understand btw aa airline im able trvlove guy
positive,awesome photo thanks sharing
positive,new plane gogo easy power laptop iphone missing good boatstyle swivel cup holder dietcoke happyflier
negative,rampers gate b dfw waiting marshaled
negative,cancelled flight flight there way rebook website app wait minute hold fail cc
neutral,thought plane retired md
positive,got phone customer service minute get issue resoled guy awesome
positive,thanks info number call speak person going take hour type
neutral,kax premium hoping flight better food tv know work service tnx
positive,sound like date
negative,im frustrated attitude toward execplat member thenewamerican
negative,another day another grievance airline customer service
negative,youve misunderstood would day flight change gate agent said
neutral,flight im way
negative,car accident way airport missed flight rno dca trying resched line hr wait
neutral,thanks much
positive,hope enjoy winterweather brought warm coat glove maria yup new beanie httptcoaneqxzrbp
negative,weather sun
negative,fail flight rdu sitting waiting flight attendant logistics good
negative,idea wait time refund told day phone well past
positive,happy purchase upgrade avail next flight
negative,going reported police due sexual assult sad didnt care
negative,th flight rebooked cancelled flighted woohoo going make
neutral,flight dfw lit way pdx tomorrow cancelled flighted help
negative,issue lack consideration announcement made late flight gate agent hour
negative,understand flight day going twice im extra med diaper baby
neutral,sure im running version
negative,could train flight attendant manner decency
positive,together best part flying
negative,last year flight delayed cancelled flightled im done
negative,fyicall stilling getting dropped hour continuous dialing attempted cancelled flight online able help
negative,get guy respond tweet dm really sad feeling ignored
negative,aa going fix utterly embarrassing customer service wont even answer dang phone
negative,number even let wait next customer rep frustrating cant talk human
negative,want speak human obscene request
negative,response dm email yet customer service
negative,reconsider usairways acquisition flight aa gold flyer insulted attendant hanging jacket
positive,thank youyou
negative,need work harder disconnect intention reality passenger face
negative,long take get credit aa account traveled jan amp one leg reported asked credit response
positive,hopefully see bad one opportunity get better dwell good one encouragement word
negative,okay think waited long enough gate dfw
negative,minute waiting silver elite line someone pick help
negative,say character plus dont follow
negative,would even consider continuing point program received perk continued bad customer service senseless
neutral,weve already made arrangement
negative,thanks getting back find airline future
negative,would pay reactivate point useful certain flight arent even worth
negative,stranded hour mia patrick casimir aa staff apologize great inconvenience unreal
negative,thanks said denied mile expired one week ago last drop plan avoid aa possible
negative,sorry late flight responded dm
negative,believe understand flight originally booked sunday flight cancelled flighted rescheduled today
negative,aa employee rude unwilling help mile rotten cherry top dog shit sunday nocareforcustomers
negative,mold flight u filthyplane hopeidonotgetsick httptcozikuoxgnw
neutral,second touchdown madrid airport april avgeek httptcoywxrfngr
negative,slept miami airport due mechanical issue given bonus mile try make right slapintheface
neutral,new time confirmed may get cancelled flightled traveling kid need certain thx
negative,hr min cost flight change hr ago bf drop call cancelled flighted flight asked refund
negative,frustratingit paid get refund
neutral,dm locator code thanks
positive,thank
negative,sure hope fix good luck service suck nexttimeiwillflysouthwest
negative,thanks fresh food cross country flight making connection close time eat tpadfwlax
neutral,flight got cancelled flightled grk dfw lex tomorrow need rebooked
neutral,sort live chat feature uk right call would cost u alot
negative,plane made miss connection day thanks nothing
negative,purchased main cabin xt faus flight cancelled flightled rescheduled regular seat credit
neutral,disappointed flight booking problem process addl fee sit together crowded flight impressed far
positive,thanks
negative,thx responding cant watch min film wout cutting prolonged prds time beyond frustrating
neutral,
negative,connect person without wait hour hold still havent able resolve problem
negative,r u serious min delay americanairlines aa ohio dallas missed connecting flight httptcodnmsblzumr
negative,jumping gun cancelled flighting flight couldve made snow cancelled flightlations ridiculous
neutral,might look wife travel much could use membership
positive,thank
neutral,happens combine top chef amp beauty san miguel de allende late flightst food blog httptcotrdrcre
positive,great thanks followed
positive,exactly ill flying aa _airport dallas airline trust
negative,doesnt address issue hold min speak agent
positive,got another flight thanks
neutral,u r horriblewent online cancelled flight flightno buttonthatcalled c ampwait time minsampput calledampit hungupnohelp
negative,submitted case aa customer relation two week ago word ever since whats point even cr
negative,near gate mean sitting plane almost hour yeah
neutral,dont think help based behavior voucher cot seem like enough lol
negative,still waiting flight get money back
negative,cancelled flighted flight really dont need much trouble
negative,_wasila sorry uncomfortable andrew sma
neutral,hi please ticket award ticket status request thanks
positive,got back eventually rollercoaster got airport amp got speak someone thing got fixed quick
negative,thats extra hour travel time missed vacation time guy messing professional life
negative,checked app since yesterday confirmed upgrade amp carry got counter amp manager upgraded somebody else seat
neutral,trying desperately get boyfriend booked u airway flight price help
positive,yes yes yesso glad headed home
negative,dont worry ill sending letter expect compensation fly twice week wyou guysfor
positive,thanks
positive,thanks keep updated hope make either connection killeen tx
negative,hold wcustomer service line minute phone agent min bf call droped
negative,tried book rwrd told couldnt bought tix usair aano choice didnt bother aadv svc
neutral,know suicide second leading cause death among teen
negative,narrowly made standbylots snag trip
neutral,iphone gb plus
negative,ordered always hour flight delayed hour worse ever forgot meal
positive,thanks much
neutral,aa doesnt charge fee change award ticket long origin destination amp award type remains
negative,need flight tonight isnt anything else
positive,thank confirmation
negative,spent choppiest feed whiplash ever americanairlinesfail iwantmymoneyback
neutral,ok call likely tmrw uk time question process getting change charge reversed due bereavement
negative,please find bag singapore three day already without bag last known destination lax tag please help
negative,inconvenient convenient word
negative,response could made difference could made situation better trustget lost like bag
negative,delayed way puerto rico delayed way back new york disgraceful
negative,thats okyou may keep lose bag info longer trust bad way handle
negative,come want go home cant miss another day work stuckinmemphis texasisclosed
neutral,photo httptcovmquurzupw
negative,guy killing httptcoipgeicsm
positive,aww cool nice know still head one faves
neutral,whats status flight sju
negative,would love dm twitter app say youre following cant
negative,wasnt offered perk asked told thenewamerican
negative,good care customer anything happen take getting back nyc screw
negative,cost dollar flight cancelled flightled couldnt even give food comp fly take
negative,say dumb thing beat around bush youre flight cancelled flightled prepared compassion
neutral,yes io im running io
negative,worst company ever please fly repeat please fly credit youre delayed
